# turbineX, turbineY
9.765633137291769117e+02 9.672400478568777160e+00
1.556950030125159628e+03 -9.169997797223211622e-02
2.159154818268422332e+03 2.071531244531829685e+01
7.228491189050854473e+02 4.984080110067818055e+02
1.290260747757757599e+03 4.918248115667587399e+02
1.892169632797964596e+03 5.090522617609844360e+02
2.520251570071486185e+03 5.368213596223371269e+02
3.135832095675902565e+03 5.794767400671081532e+02
4.717627488305386123e+02 9.956774940428781520e+02
1.030928615471021885e+03 9.784188916326504568e+02
1.622048028479252707e+03 9.880620681437567328e+02
2.241197585443054322e+03 1.019859240312166889e+03
2.856492481372068596e+03 1.058784230479452617e+03
3.484183379610542943e+03 1.105111757581590382e+03
2.182858940256110714e+02 1.493665548602745730e+03
7.740199964664352592e+02 1.473208320546700861e+03
1.355558190173704816e+03 1.474406559672620688e+03
1.961999518772398915e+03 1.492413302497029235e+03
2.576419367535340825e+03 1.531018196275859736e+03
3.187600638008731494e+03 1.574038983955080766e+03
3.800944776353617272e+03 1.637640578069963567e+03
5.157405657281773301e+02 1.963246260785201912e+03
1.095658892062763471e+03 1.957931455086648384e+03
1.684112610286399558e+03 1.982414585990902879e+03
2.284940105519267490e+03 2.006461434438700053e+03
2.890635006166385210e+03 2.052041944347682147e+03
3.503152251546388925e+03 2.098302570037888927e+03
2.546423594296465751e+02 2.453619046770363184e+03
8.215492889868788779e+02 2.449905756154946630e+03
1.407960051288348723e+03 2.455810125209398393e+03
1.994966387471911503e+03 2.483794773836887089e+03
2.596741672064638806e+03 2.524968895934604916e+03
3.201427478817027350e+03 2.566950747087791569e+03
3.780774961848595012e+03 2.613668613200773052e+03
8.704364246212193956e-01 2.941958398125838812e+03
5.561363917638783505e+02 2.935268110235942459e+03
1.128161647043110179e+03 2.941116218014430615e+03
1.707246481616491337e+03 2.956639898110846843e+03
2.300771414496590751e+03 2.994061779031407696e+03
2.904119555130969729e+03 3.031148650124971482e+03
3.474681664290454592e+03 3.069905447447885308e+03
2.815984640809674033e+02 3.424662094584021816e+03
8.516064665589649394e+02 3.424216107996851861e+03
1.430038548664633254e+03 3.437095507482777066e+03
2.005066898268298928e+03 3.458823303195067638e+03
2.598439044992843719e+03 3.498133556569105167e+03
3.155971425138778613e+03 3.539000146605283135e+03
3.710330567623538627e+03 3.569157751677222222e+03
1.986122328852096075e+01 3.907230236188348954e+03
5.728222925536074399e+02 3.914610970270300186e+03
1.138816706580714936e+03 3.911534637206133084e+03
1.719053861709014427e+03 3.930686053936994085e+03
2.285285033038094298e+03 3.970891390370870795e+03
2.842139195858657786e+03 4.001191182493905217e+03
2.971082128866494827e+02 4.391057254690071204e+03
8.496743081858447795e+02 4.385878986721805632e+03
1.425640174707100186e+03 4.405777899602569960e+03
1.990352368422818699e+03 4.429137266382123926e+03
1.124025879937707032e+03 4.869896946656099317e+03
1.683707983824280745e+03 4.890006158296228023e+03
